term_id,month,sqm,rent,effective_days,days_in_month
A-10364-0,2028-08,1106.0,16066.612258064515,17.0,31.0
A-10364-0,2028-09,1106.0,29297.94,30.0,30.0
A-10364-0,2028-10,1106.0,29297.94,31.0,31.0
A-10364-0,2028-11,1106.0,29297.94,30.0,30.0
A-10364-0,2028-12,1106.0,29297.94,31.0,31.0
A-10364-0,2029-01,1106.0,29297.94,31.0,31.0
A-10364-0,2029-02,1106.0,29297.940000000002,28.0,28.0
A-10364-0,2029-03,1106.0,29297.94,31.0,31.0
A-10364-0,2029-04,1106.0,29297.94,30.0,30.0
A-10364-0,2029-05,1106.0,29297.94,31.0,31.0
A-10364-0,2029-06,1106.0,29297.94,30.0,30.0
A-10364-0,2029-07,1106.0,29297.94,31.0,31.0
A-10364-0,2029-08,1106.0,29297.94,31.0,31.0
A-10364-0,2029-09,1106.0,29297.94,30.0,30.0
A-10364-0,2029-10,1106.0,29297.94,31.0,31.0
A-10364-0,2029-11,1106.0,29297.94,30.0,30.0
A-10364-0,2029-12,1106.0,29297.94,31.0,31.0
A-10364-0,2030-01,1106.0,29297.94,31.0,31.0
A-10364-0,2030-02,1106.0,29297.940000000002,28.0,28.0
A-10364-0,2030-03,1106.0,29297.94,31.0,31.0
A-10364-0,2030-04,1106.0,29297.94,30.0,30.0
A-10364-0,2030-05,1106.0,29297.94,31.0,31.0
A-10364-0,2030-06,1106.0,29297.94,30.0,30.0
A-10364-0,2030-07,1106.0,29297.94,31.0,31.0
A-10364-0,2030-08,1106.0,29297.94,31.0,31.0
A-10364-0,2030-09,1106.0,29297.94,30.0,30.0
A-10364-0,2030-10,1106.0,29297.94,31.0,31.0
A-10364-0,2030-11,1106.0,29297.94,30.0,30.0
A-10364-0,2030-12,1106.0,29297.94,31.0,31.0
A-10364-0,2031-01,1106.0,29297.94,31.0,31.0
A-10364-0,2031-02,1106.0,29297.940000000002,28.0,28.0
A-10364-0,2031-03,1106.0,29297.94,31.0,31.0
A-10364-0,2031-04,1106.0,29297.94,30.0,30.0
A-10364-0,2031-05,1106.0,29297.94,31.0,31.0
A-10364-0,2031-06,1106.0,29297.94,30.0,30.0
A-10364-0,2031-07,1106.0,29297.94,31.0,31.0
A-10364-0,2031-08,1106.0,29297.94,31.0,31.0
A-10364-0,2031-09,1106.0,29297.94,30.0,30.0
A-10364-0,2031-10,1106.0,29297.94,31.0,31.0
A-10364-0,2031-11,1106.0,29297.94,30.0,30.0
A-10364-0,2031-12,1106.0,29297.94,31.0,31.0
A-10364-0,2032-01,1106.0,29297.94,31.0,31.0
A-10364-0,2032-02,1106.0,29297.94,29.0,29.0
A-10364-0,2032-03,1106.0,29297.94,31.0,31.0
A-10364-0,2032-04,1106.0,29297.94,30.0,30.0
A-10364-0,2032-05,1106.0,29297.94,31.0,31.0
A-10364-0,2032-06,1106.0,29297.94,30.0,30.0
A-10364-0,2032-07,1106.0,29297.94,31.0,31.0
A-10364-0,2032-08,1106.0,29297.94,31.0,31.0
A-10364-0,2032-09,1106.0,29297.94,30.0,30.0
A-10364-0,2032-10,1106.0,29297.94,31.0,31.0
A-10364-0,2032-11,1106.0,29297.94,30.0,30.0
A-10364-0,2032-12,1106.0,29297.94,31.0,31.0
A-10364-0,2033-01,1106.0,29297.94,31.0,31.0
A-10364-0,2033-02,1106.0,29297.940000000002,28.0,28.0
A-10364-0,2033-03,1106.0,29297.94,31.0,31.0
A-10364-0,2033-04,1106.0,29297.94,30.0,30.0
A-10364-0,2033-05,1106.0,29297.94,31.0,31.0
A-10364-0,2033-06,1106.0,29297.94,30.0,30.0
A-10364-0,2033-07,1106.0,29297.94,31.0,31.0
A-10364-0,2033-08,1106.0,13231.327741935482,14.0,31.0
A-10364-1,2033-08,1106.0,15890.72258064516,17.0,31.0
A-10364-1,2033-09,1106.0,28977.2,30.0,30.0
A-10364-1,2033-10,1106.0,28977.2,31.0,31.0
A-10364-1,2033-11,1106.0,28977.2,30.0,30.0
A-10364-1,2033-12,1106.0,28977.2,31.0,31.0
A-10364-1,2034-01,1106.0,28977.2,31.0,31.0
A-10364-1,2034-02,1106.0,28977.200000000004,28.0,28.0
A-10364-1,2034-03,1106.0,28977.2,31.0,31.0
A-10364-1,2034-04,1106.0,28977.2,30.0,30.0
A-10364-1,2034-05,1106.0,28977.2,31.0,31.0
A-10364-1,2034-06,1106.0,28977.2,30.0,30.0
A-10364-1,2034-07,1106.0,28977.2,31.0,31.0
A-10364-1,2034-08,1106.0,28977.2,31.0,31.0
A-10364-1,2034-09,1106.0,28977.2,30.0,30.0
A-10364-1,2034-10,1106.0,28977.2,31.0,31.0
A-10364-1,2034-11,1106.0,28977.2,30.0,30.0
A-10364-1,2034-12,1106.0,13086.477419354838,14.0,31.0
A-10364-2,2034-12,1106.0,16297.088387096775,17.0,31.0
A-10364-2,2035-01,1106.0,29718.22,31.0,31.0
A-10364-2,2035-02,1106.0,29718.22,28.0,28.0
A-10364-2,2035-03,1106.0,29718.22,31.0,31.0
A-10364-2,2035-04,1106.0,29718.22,30.0,30.0
A-10364-2,2035-05,1106.0,29718.22,31.0,31.0
A-10364-2,2035-06,1106.0,29718.22,30.0,30.0
A-10364-2,2035-07,1106.0,29718.22,31.0,31.0
A-10364-2,2035-08,1106.0,29718.22,31.0,31.0
A-10364-2,2035-09,1106.0,29718.22,30.0,30.0
A-10364-2,2035-10,1106.0,29718.22,31.0,31.0
A-10364-2,2035-11,1106.0,29718.22,30.0,30.0
A-10364-2,2035-12,1106.0,13421.131612903228,14.0,31.0
A-10364-3,2035-12,1106.0,16278.892903225807,17.0,31.0
A-10364-3,2036-01,1106.0,29685.04,31.0,31.0
A-10364-3,2036-02,1106.0,29685.04,29.0,29.0
A-10364-3,2036-03,1106.0,29685.04,31.0,31.0
A-10364-3,2036-04,1106.0,29685.04,30.0,30.0
A-10364-3,2036-05,1106.0,29685.04,31.0,31.0
A-10364-3,2036-06,1106.0,29685.04,30.0,30.0
A-10364-3,2036-07,1106.0,29685.04,31.0,31.0
A-10364-3,2036-08,1106.0,29685.04,31.0,31.0
A-10364-3,2036-09,1106.0,29685.04,30.0,30.0
A-10364-3,2036-10,1106.0,29685.04,31.0,31.0
A-10364-3,2036-11,1106.0,29685.04,30.0,30.0
A-10364-3,2036-12,1106.0,13406.147096774193,14.0,31.0
A-10364-4,2036-12,1106.0,16527.564516129034,17.0,31.0
A-10364-4,2037-01,1106.0,30138.5,31.0,31.0
A-10364-4,2037-02,1106.0,30138.5,28.0,28.0
A-10364-4,2037-03,1106.0,30138.5,31.0,31.0
A-10364-4,2037-04,1106.0,30138.5,30.0,30.0
A-10364-4,2037-05,1106.0,30138.5,31.0,31.0
